Date,Actual,Predicted
2026-04-02,1459.88,1465.979
2026-04-03,1460.0,1471.1603
2026-04-07,1440.02,1475.4915
2026-04-08,1465.02,1479.0651
2026-04-09,1460.49,1482.1033
2026-04-10,1453.96,1484.9996
2026-04-13,1435.76,1487.9708
