k,accuracy,silhouette,calinski_harabasz,n_clusters,n_noise
2,0.6666666666666666,0.5817500491982808,251.34933946458108,2,0
3,0.8333333333333334,0.45994823920518635,241.90440170183157,3,0
4,0.7133333333333334,0.37758008728222414,176.33401923013992,4,0
5,0.5466666666666666,0.3045805027295187,172.78587761662655,5,0
